r [m],S_e at t_1 - 0.2 ns [m^-3s^-1],div(Gamma_e) at t_1 - 0.2 ns [m^-3s^-1],S_e at t_1 - 0.1 ns [m^-3s^-1],div(Gamma_e) at t_1 - 0.1 ns [m^-3s^-1],S_e at t_1 [m^-3s^-1],div(Gamma_e) at t_1,S_e  at t_1 + 0.1 ns [m^-3s^-1],div(Gamma_e) at t_1 + 0.1 ns [m^-3s^-1],S_e  at t_1 + 0.2 ns [m^-3s^-1],div(Gamma_e) at t_1 + 0.2 ns [m^-3s^-1]
8.14039036631584E-5,1.24101302390045E24,1.019454202833E24,8.5789370132261E24,7.31441423340584E24,6.47552951704711E25,5.69818803342059E25,5.19219436682761E26,4.68576763523743E26,4.29085409268737E27,3.95149691030383E27
8.33082050085068E-5,9.58135501605284E23,7.8630290545334E23,6.12643952990766E24,5.21620131621603E24,4.26469123340212E25,3.74226292478852E25,3.15189041430131E26,2.83761037280783E26,2.43721529841423E27,2.23870342597365E27
8.33758935332298E-5,9.49815557760303E23,7.79429853992042E23,6.05746390647255E24,5.15725605509942E24,4.20519172621425E25,3.68967885151505E25,3.09982890030369E26,2.79049447271973E26,2.39175115711987E27,2.19671288505197E27
8.46550986170769E-5,8.01077931100735E23,6.5707450858099E23,4.86023145640502E24,4.13488305639476E24,3.19515311275609E25,2.79874457191909E25,2.23499489948154E26,2.00878799660131E26,1.64564163424075E27,1.50868378113955E27
8.53459015488625E-5,7.3089717034236E23,5.99453869654099E23,4.31459011451807E24,3.66946665053547E24,2.75408838206204E25,2.4102620955091E25,1.87178928172216E26,1.68085156474262E26,1.34413794148713E27,1.23102182988077E27
8.53824988007545E-5,7.27249471310643E23,5.96448273881833E23,4.28671910412959E24,3.64566722055315E24,2.73186815320514E25,2.39070486713899E25,1.85368189704604E26,1.66452242410742E26,1.3291584327817E27,1.21724349446595E27
8.73144045472145E-5,5.65254083539912E23,4.63416142792994E23,3.0989083370514E24,2.63113201981469E24,1.82236199179897E25,1.59429600898875E25,1.14461712655611E26,1.02532001619693E26,7.63156684115529E26,6.96989533025771E26
8.74577015638351E-5,5.54488167381351E23,4.54609022426666E23,3.02312560052087E24,2.56656471719907E24,1.76702578755794E25,1.54586305143312E25,1.10307402792387E26,9.87951425486244E25,7.3113344842568E26,6.67615095153451E26
8.92817974090576E-5,4.39518032635533E23,3.60177523361926E23,2.24320729103056E24,1.90317723536282E24,1.22080909932265E25,1.06612478703028E25,7.08597654011101E25,6.33832241874188E25,4.38233284512535E26,3.99177690269426E26
8.95340964198113E-5,4.25222054900587E23,3.4845132290684E23,2.15048748941626E24,1.82437418061454E24,1.15829943752033E25,1.01132955023786E25,6.65392217342742E25,5.95028541283682E25,4.07175568398088E26,3.70772730093449E26
9.12481993436813E-5,3.43442621897339E23,2.81312225069996E23,1.63794470608991E24,1.38756206524704E24,8.26088853500551E24,7.20278239896288E24,4.44607394456398E25,3.9637328882236E25,2.54876911640167E26,2.31584330322221E26
9.16118994355202E-5,3.27907116570714E23,2.68571341166535E23,1.54356962411839E24,1.30731257286243E24,7.67503479437437E24,6.69047767587472E24,4.07062325393781E25,3.62712089554407E25,2.29950688662939E26,2.08842873689719E26
9.32134985923767E-5,2.69919269157981E23,2.21011262624415E23,1.20433128358854E24,1.01898274351697E24,5.65371601624065E24,4.92239132654504E24,2.81762877420988E25,2.50834582402604E25,1.50260486407205E26,1.36194968945347E26
9.36912000179291E-5,2.54311288472309E23,2.0823564739203E23,1.1163252793267E24,9.44224836985086E23,5.15017109137261E24,4.48204582426115E24,2.5177163479384E25,2.24103769141948E25,1.31829568999819E26,1.19420823466498E26
9.51777994632721E-5,2.13177258956421E23,1.74506624261994E23,8.92182299594424E23,7.54357472487754E23,3.91016646972275E24,3.39852567776688E24,1.81190389412222E25,1.61053594638361E25,8.98770449566655E25,8.12810467323288E25
9.5771998167038E-5,1.98306722154484E23,1.62336917242101E23,8.13981387182139E23,6.88221405198419E23,3.49333822668996E24,3.03539241031103E24,1.58412221935578E25,1.40729462145828E25,7.68141253502108E25,6.94271875545383E25
9.71411019563675E-5,1.69192986732014E23,1.38475712674335E23,6.66025528062164E23,5.62888601507439E23,2.7331200271874E24,2.37309382100648E24,1.18101606858545E25,1.04772070699255E25,5.46265255252365E25,4.92727958771866E25
9.78543013334274E-5,1.55441924221122E23,1.27188371834563E23,5.98562223785848E23,5.0579023991304E23,2.39922292166739E24,2.08198434847873E24,1.00998677226016E25,8.95477023732383E24,4.55084737041034E25,4.1002182115335E25
9.91034954786301E-5,1.35025217673501E23,1.10486588766889E23,5.008902235204E23,4.23028154727945E23,1.93107644008705E24,1.67394398431497E24,7.79651418270078E24,6.90634806232993E24,3.36168996000197E25,3.02554944937583E25
9.99382063746452E-5,1.22612860309346E23,1.0035363118277E23,4.43748433553992E23,3.74679473225115E23,1.66510528742947E24,1.44271996305179E24,6.53779443382518E24,5.78739400225459E24,2.73286495939828E25,2.45867522608023E25
9.99999940395355E-5,1.21783273243636E23,9.96745228576401E22,4.39985029743184E23,3.71496128082072E23,1.6478589941471E24,1.42770852562535E24,6.45762202111655E24,5.71602959098527E24,2.69383763225051E25,2.42342139245011E25
