t [s],U_a [V],U_m [V],U_g [V],I [A]
3.9398E-6,2989,170.06,2819,8.67334000000157E-4
3.9399E-6,2989,170.16,2818.9,8.88851333333283E-4
3.9399E-6,2989,170.26,2818.8,8.88851333333283E-4
3.94E-6,2989.1,170.37,2818.7,9.03968333333738E-4
3.9401E-6,2989.1,170.48,2818.6,9.45288333333369E-4
3.9401E-6,2989.1,170.59,2818.5,9.45288333333369E-4
3.9402E-6,2989.1,170.7,2818.4,9.45879E-4
3.9402E-6,2989.1,170.81,2818.3,9.45879E-4
3.9403E-6,2989.1,170.93,2818.2,9.9323733333357E-4
3.9404E-6,2989.1,171.05,2818,0.00101
3.9404E-6,2989.1,171.16,2817.9,0.00101
3.9405E-6,2989.1,171.28,2817.8,0.001016
3.9406E-6,2989.1,171.4,2817.7,0.00102799999999953
3.9406E-6,2989.1,171.51,2817.6,0.00102799999999953
3.9407E-6,2989.1,171.63,2817.5,0.00100095060000032
3.9407E-6,2989.1,171.75,2817.4,0.00100095060000032
3.9408E-6,2989.1,171.87,2817.3,0.00104600000000007
3.9408E-6,2989.1,171.99,2817.1,0.00104600000000007
3.9409E-6,2989.1,172.12,2817,0.00105799999999986
3.941E-6,2989.1,172.24,2816.9,0.0011
3.941E-6,2989.2,172.37,2816.8,0.0011
3.9411E-6,2989.2,172.5,2816.7,0.00113499999999993
3.9411E-6,2989.2,172.63,2816.5,0.00113499999999993
3.9412E-6,2989.2,172.76,2816.4,0.00116
3.9413E-6,2989.2,172.9,2816.3,0.0012
3.9413E-6,2989.2,173.03,2816.1,0.0012
3.9414E-6,2989.2,173.16,2816,0.00122666666666671
3.9414E-6,2989.2,173.3,2815.9,0.00122666666666671
3.9415E-6,2989.2,173.44,2815.8,0.00118999999999983
3.9415E-6,2989.2,173.58,2815.6,0.00118999999999983
3.9416E-6,2989.2,173.72,2815.5,0.00121
3.9416E-6,2989.2,173.86,2815.4,0.00121
3.9417E-6,2989.2,174,2815.2,0.00124
3.9417E-6,2989.2,174.14,2815.1,0.00124
3.9418E-6,2989.2,174.29,2814.9,0.00127
3.9418E-6,2989.2,174.43,2814.8,0.00127
3.9419E-6,2989.2,174.58,2814.7,0.0013140000000001
3.9419E-6,2989.2,174.73,2814.5,0.0013140000000001
3.942E-6,2989.2,174.88,2814.4,0.00132999999999979
3.942E-6,2989.3,175.04,2814.2,0.00132999999999979
3.9421E-6,2989.3,175.19,2814.1,0.001392
3.9422E-6,2989.3,175.35,2813.9,0.00140800000000003
3.9422E-6,2989.3,175.51,2813.8,0.00140800000000003
3.9423E-6,2989.3,175.67,2813.6,0.00148
3.9423E-6,2989.3,175.84,2813.4,0.00148
3.9424E-6,2989.3,176.01,2813.3,0.00142499999999989
3.9424E-6,2989.3,176.17,2813.1,0.00142499999999989
3.9425E-6,2989.3,176.34,2813,0.001465
3.9425E-6,2989.3,176.5,2812.8,0.001465
3.9425E-6,2989.3,176.67,2812.6,0.001465
3.9426E-6,2989.3,176.84,2812.5,0.00151
3.9426E-6,2989.3,177.01,2812.3,0.00151
3.9427E-6,2989.3,177.19,2812.1,0.00154750000000048
3.9427E-6,2989.3,177.37,2811.9,0.00154750000000048
3.9428E-6,2989.3,177.54,2811.8,0.0015975
3.9428E-6,2989.3,177.72,2811.6,0.0015975
3.9429E-6,2989.3,177.91,2811.4,0.00166
3.9429E-6,2989.3,178.1,2811.2,0.00166
3.943E-6,2989.3,178.29,2811.1,0.00169600000000041
3.943E-6,2989.3,178.48,2810.9,0.00169600000000041
3.9431E-6,2989.3,178.67,2810.7,0.00174750000000005
3.9431E-6,2989.4,178.87,2810.5,0.00174750000000005
3.9432E-6,2989.4,179.07,2810.3,0.0018159999999999
3.9432E-6,2989.4,179.27,2810.1,0.0018159999999999
3.9433E-6,2989.4,179.47,2809.9,0.00181
3.9433E-6,2989.4,179.68,2809.7,0.00181
3.9433E-6,2989.4,179.88,2809.5,0.00181
3.9434E-6,2989.4,180.08,2809.3,0.001825
3.9434E-6,2989.4,180.29,2809.1,0.001825
3.9435E-6,2989.4,180.5,2808.9,0.00188249999999952
3.9435E-6,2989.4,180.71,2808.7,0.00188249999999952
3.9436E-6,2989.4,180.92,2808.5,0.00194499999999968
3.9436E-6,2989.4,181.14,2808.3,0.00194499999999968
3.9436E-6,2989.4,181.36,2808,0.00194499999999968
3.9437E-6,2989.4,181.58,2807.8,0.00199
3.9437E-6,2989.4,181.81,2807.6,0.00199
3.9438E-6,2989.4,182.04,2807.4,0.00207500000000011
3.9438E-6,2989.4,182.27,2807.1,0.00207500000000011
3.9438E-6,2989.4,182.51,2806.9,0.00207500000000011
3.9439E-6,2989.4,182.75,2806.7,0.00213999999999979
3.9439E-6,2989.4,182.99,2806.4,0.00213999999999979
3.944E-6,2989.4,183.23,2806.2,0.00219
3.944E-6,2989.4,183.49,2806,0.00219
3.9441E-6,2989.4,183.74,2805.7,0.00219
3.9441E-6,2989.4,184,2805.4,0.00219
3.9441E-6,2989.5,184.25,2805.2,0.00219
3.9442E-6,2989.5,184.52,2804.9,0.00226250000000016
3.9442E-6,2989.5,184.78,2804.7,0.00226250000000016
3.9443E-6,2989.5,185.04,2804.4,0.00233999999999944
3.9443E-6,2989.5,185.3,2804.2,0.00233999999999944
3.9443E-6,2989.5,185.57,2803.9,0.00233999999999944
3.9444E-6,2989.5,185.84,2803.6,0.00242
3.9444E-6,2989.5,186.12,2803.4,0.00242
3.9445E-6,2989.5,186.4,2803.1,0.00250666666666667
3.9445E-6,2989.5,186.68,2802.8,0.00250666666666667
3.9445E-6,2989.5,186.96,2802.5,0.00250666666666667
3.9446E-6,2989.5,187.25,2802.2,0.00259500000000032
3.9446E-6,2989.5,187.55,2801.9,0.00259500000000032
3.9446E-6,2989.5,187.85,2801.7,0.00259500000000032
3.9447E-6,2989.5,188.15,2801.4,0.00268333333333352
3.9447E-6,2989.5,188.46,2801,0.00268333333333352
3.9448E-6,2989.5,188.77,2800.7,0.00269666666666667
3.9448E-6,2989.5,189.09,2800.4,0.00269666666666667
3.9448E-6,2989.5,189.41,2800.1,0.00269666666666667
3.9449E-6,2989.5,189.74,2799.8,0.0028
3.9449E-6,2989.5,190.07,2799.5,0.0028
3.9449E-6,2989.5,190.41,2799.1,0.0028
3.945E-6,2989.5,190.75,2798.8,0.00289
3.945E-6,2989.5,191.08,2798.5,0.00289
3.9451E-6,2989.5,191.42,2798.1,0.00301333333333296
3.9451E-6,2989.5,191.76,2797.8,0.00301333333333296
