t [s],U_a [V],U_m [V],U_g [V],I [A]
3.95293266007334E-6,2990.26657318656,1401.22264757951,1589.04392560705,0.01344
3.95294227758181E-6,2990.26744865381,1404.7180032942,1585.54944535962,0.01345
3.95295212215108E-6,2990.26834474935,1408.27328959545,1581.9950551539,0.01348
3.95296203245667E-6,2990.2692467869,1411.81710924933,1578.45213753757,0.01351
3.95297194135203E-6,2990.27014865435,1415.32514700387,1574.94500165048,0.01354
3.95298188198855E-6,2990.27105336883,1418.81257684077,1571.45847652806,0.01357
3.95299182143864E-6,2990.27195793334,1422.26954374926,1568.00241418408,0.0136
3.95300171281385E-6,2990.27285808099,1425.68022774984,1564.59263033115,0.01362
3.95301144963077E-6,2990.27374412273,1429.00766307701,1561.26608104572,0.01365
3.95302100171237E-6,2990.27461331455,1432.24792274774,1558.02669056682,0.01367
3.95303058685399E-6,2990.2754854757,1435.49183965495,1554.78364582075,0.01367
3.95304027477188E-6,2990.27636694889,1438.76712036707,1551.50924658182,0.01368
3.95305025738671E-6,2990.27727519389,1442.13841157113,1548.13886362277,0.01369
3.95306028584048E-6,2990.2781875668,1445.50142210697,1544.77676545983,0.01372
3.95307019638425E-6,2990.27908917046,1448.79568991684,1541.48339925362,0.01375
3.95308004282865E-6,2990.27998490139,1452.04851659582,1538.23146830557,0.01377
3.95308997164123E-6,2990.28088808363,1455.31641405799,1534.96447402564,0.01378
3.95309999085933E-6,2990.28179944721,1458.59932739616,1531.68247205105,0.0138
3.95311000014968E-6,2990.28270986515,1461.85773236425,1528.4249775009,0.01382
3.95311991145759E-6,2990.28361132892,1465.06338492942,1525.2202263995,0.01384
3.95312984437945E-6,2990.28451471665,1468.26267028778,1522.02184442888,0.01386
3.95313977816944E-6,2990.28541814141,1471.44957650868,1518.83584163273,0.01388
3.9531497333848E-6,2990.28632347261,1474.63008634312,1515.6562371295,0.0139
3.95315965805403E-6,2990.28722598402,1477.78821101589,1512.49901496813,0.01391
3.95316971782128E-6,2990.288140738,1480.98285867446,1509.30528206354,0.01393
3.95317981858868E-6,2990.28905917693,1484.17730643699,1506.11175273994,0.01395
3.95318971288125E-6,2990.28995879955,1487.27866849556,1503.01129030399,0.01398
3.95319944524148E-6,2990.29084365815,1490.31548104944,1499.97536260871,0.01399
3.9532092272499E-6,2990.29173299016,1493.36535600715,1496.92637698301,0.014
3.95321923122202E-6,2990.29264245995,1496.4909436434,1493.80169881654,0.014
3.95322939038301E-6,2990.29356599457,1499.65732304306,1490.63624295151,0.01402
3.95323953845722E-6,2990.29448847754,1502.80014418828,1487.49434428926,0.01405
3.95324959724804E-6,2990.29540280126,1505.89605456344,1484.39934823781,0.01407
3.953259671323E-6,2990.29631847117,1508.98343212949,1481.31288634168,0.01409
3.95326977816968E-6,2990.29723707649,1512.07339469065,1478.22384238584,0.0141
3.9532800086288E-6,2990.29816687266,1515.19385172959,1475.10431514306,0.01412
3.95329042555232E-6,2990.29911356995,1518.36479883939,1471.93431473056,0.01413
3.95330101727768E-6,2990.30007610608,1521.57721152487,1468.72286458121,0.01416
3.95331176243199E-6,2990.30105253653,1524.81879040599,1465.48226213054,0.01418
3.95332236022677E-6,2990.30201552811,1527.98331846024,1462.31869706786,0.01422
3.95333269438871E-6,2990.30295451815,1531.0429300042,1459.26002451395,0.01425
3.95334303990764E-6,2990.30389449466,1534.09762922219,1456.20626527248,0.01426
3.95335365758989E-6,2990.30485915218,1537.23860614691,1453.06625300527,0.01427
3.95336451550931E-6,2990.30584558662,1540.44221147659,1449.86363411003,0.01429
3.95337516307037E-6,2990.30681286149,1543.54985138624,1446.75696147526,0.01433
3.95338545786495E-6,2990.30774804358,1546.52722067574,1443.78052736784,0.01436
3.95339575075241E-6,2990.30868300739,1549.50438076979,1440.80430223759,0.01437
3.9534062477843E-6,2990.30963646847,1552.54759953232,1437.76203693615,0.01437
3.95341673714161E-6,2990.31058918568,1555.57356396106,1434.73702522462,0.0144
3.95342696918029E-6,2990.31151848635,1558.50815671542,1431.80336177093,0.01442
3.95343717434225E-6,2990.31244530169,1561.43065898953,1428.88178631215,0.01444
3.95344755677533E-6,2990.31338817106,1564.4124131353,1425.90097503576,0.01444
3.95345830592535E-6,2990.31436429517,1567.5073947205,1422.80696957468,0.01445
3.95346890874551E-6,2990.31532708304,1570.535674103,1419.77965298004,0.01449
3.95347919527914E-6,2990.31626110489,1573.45131087626,1416.86495022864,0.01452
3.95348947255261E-6,2990.317194241,1576.36171562918,1413.95547861183,0.01453
3.95350008999099E-6,2990.31815821562,1579.38384764751,1410.9343105681,0.01453
3.95351114788879E-6,2990.31916212933,1582.53509319362,1407.78406893571,0.01455
3.953522105155E-6,2990.32015685573,1585.62863885563,1404.6915180001,0.01459
3.95353276710119E-6,2990.32112472331,1588.61015561156,1401.71096911176,0.01462
3.95354345283911E-6,2990.32209470218,1591.59379022241,1398.72830447977,0.01463
3.95355448322165E-6,2990.32309591465,1594.67902114559,1395.64407476906,0.01464
3.95356568127588E-6,2990.32411229355,1597.79942876296,1392.5246835306,0.01467
3.9535768049047E-6,2990.32512186455,1600.8753419627,1389.44977990185,0.01471
3.95358790121087E-6,2990.32612890338,1603.92825622644,1386.39787267694,0.01473
3.9535991009839E-6,2990.32714527922,1607.00268112158,1383.32446415764,0.01475
3.95361026176723E-6,2990.32815806372,1610.04600492778,1380.28215313595,0.01478
3.95362112008985E-6,2990.32914335065,1612.98588890161,1377.34325444904,0.01481
3.95363198108978E-6,2990.33012883039,1615.92098076335,1374.40914806704,0.01483
3.95364303661112E-6,2990.33113190866,1618.91884962698,1371.41228228168,0.01484
3.9536542424397E-6,2990.33214857145,1621.95383917995,1368.3783093915,0.01486
3.95366521992332E-6,2990.33314446561,1624.90154163676,1365.43160282885,0.0149
3.95367582002594E-6,2990.33410607458,1627.72656358551,1362.60754248907,0.01493
3.95368642730906E-6,2990.33506828714,1630.56054315064,1359.77452513651,0.01493
3.95369739588198E-6,2990.3360632229,1633.50896460713,1356.82709861577,0.01493
3.95370853710456E-6,2990.33707376699,1636.49865369446,1353.83842007253,0.01496
3.95371946229818E-6,2990.33806466535,1639.41175182923,1350.92631283612,0.01499
3.95373026462538E-6,2990.33904437003,1642.27975326008,1348.05929110996,0.01501
3.95374124339227E-6,2990.3400400259,1645.20218805423,1345.13785197167,0.01502
3.95375263647493E-6,2990.34107320158,1648.24686558774,1342.09420761384,0.01503
3.95376408732366E-6,2990.34211156015,1651.28995863482,1339.05215292533,0.01506
3.95377519772873E-6,2990.34311899417,1654.20730421824,1336.13581477593,0.01511
3.95378614870261E-6,2990.34411192045,1657.07012162733,1333.27399029312,0.01513
3.95379736716175E-6,2990.3451290468,1660.01284722567,1330.33228182113,0.01513
3.95380902184008E-6,2990.34618566651,1663.07720004988,1327.26898561663,0.01515
3.95382073794723E-6,2990.3472477972,1666.14143560703,1324.20581219017,0.01518
3.95383235271875E-6,2990.34830068366,1669.14926489372,1321.19903578995,0.01523
3.95384380718849E-6,2990.34933898252,1672.09661926854,1318.25271971398,0.01526
3.95385531214947E-6,2990.35038180206,1675.04889147963,1315.30149032243,0.01528
3.95386689763225E-6,2990.35143186332,1678.01215840921,1312.33927345411,0.0153
3.95387837936826E-6,2990.35247246511,1680.93056784641,1309.4219046187,0.01534
3.95388978401941E-6,2990.35350602516,1683.82099055482,1306.53251547034,0.01536
3.95390106385027E-6,2990.35452821884,1686.67102806078,1303.68350015807,0.01538
3.95391206891757E-6,2990.35552546097,1689.43204520831,1300.92348025266,0.01541
3.95392278060735E-6,2990.35649606877,1692.1145057721,1298.24199029667,0.01543
3.95393369369566E-6,2990.35748487556,1694.86221898874,1295.49526588682,0.01543
3.9539450864447E-6,2990.35851708917,1697.75740564641,1292.60111144276,0.01543
3.95395647919374E-6,2990.35954924761,1700.6360376823,1289.72351156531,0.01585
3.95395931060595E-6,2990.35980575888,1701.22873041111,1289.13107534777,0.01585
3.95396497343037E-6,2990.3603187712,1702.4602678225,1287.9000509487,0.01585
3.95397063625479E-6,2990.36083176989,1703.66827101245,1286.69256075744,0.01587
3.95398196190363E-6,2990.36185772638,1706.41236861652,1283.94948910986,0.01554
3.95399328755248E-6,2990.36288362836,1709.20528536973,1281.15759825863,0.01556
3.95400466091927E-6,2990.36391379787,1712.03474929749,1278.32916450038,0.01558
3.95401643802144E-6,2990.36498047874,1714.98435531301,1275.38062516572,0.01559
3.95402803520165E-6,2990.36603080602,1717.87005216212,1272.4959786439,0.01564
3.95403926356328E-6,2990.36704767588,1720.63730815497,1269.72973952091,0.01568
3.95405030761405E-6,2990.3680478018,1723.35103811556,1267.01700968624,0.01569
3.95406158760979E-6,2990.36906924088,1726.13576203065,1264.23330721023,0.0157
3.95407316560038E-6,2990.3701176081,1729.00002087716,1261.37009673093,0.01571
3.9540846725872E-6,2990.37115948959,1731.8294774003,1258.54168208929,0.01575
3.95409584534002E-6,2990.37217105457,1734.55389830152,1255.81827275305,0.01578
3.95410704999315E-6,2990.37318545447,1737.28563276977,1253.0875526847,0.01579
3.95411853946203E-6,2990.37422558442,1740.09753821083,1250.27668737359,0.0158
3.95413028306975E-6,2990.37528866332,1742.97431996143,1247.40096870189,0.01582
3.95414179004021E-6,2990.37633026401,1745.77077035935,1244.60555990466,0.01586
3.95415303271777E-6,2990.37734788679,1748.48025919758,1241.89708868921,0.01589
3.95416434906151E-6,2990.37837212316,1751.20840338798,1239.16996873518,0.0159
3.95417600790549E-6,2990.37942730213,1754.03139040963,1236.3480368925,0.01591
3.95418776764791E-6,2990.38049155435,1756.87018144284,1233.51031011151,0.01593
3.95419928475604E-6,2990.38153379129,1759.62180247529,1230.759731316,0.01598
3.95421061216634E-6,2990.3825588066,1762.31119520991,1228.07136359669,0.016
3.95422210455766E-6,2990.38359869528,1765.04838077399,1225.33521792129,0.01601
3.95423394116564E-6,2990.38466967172,1767.87744934718,1222.50722032454,0.01602
3.95424575629575E-6,2990.38573864546,1770.67961761109,1219.70612103437,0.01606
3.95425721329833E-6,2990.38677516095,1773.36657518154,1217.02019997941,0.0161
3.95426861011797E-6,2990.38780617635,1776.02884340505,1214.3589627713,0.01612
3.95428028925911E-6,2990.38886267474,1778.77022185136,1211.61864082337,0.01612
3.9542922521854E-6,2990.38994478431,1781.5815427708,1208.80840201351,0.01614
3.95430402329934E-6,2990.39100948408,1784.31933345408,1206.07167603,0.01618
3.9543154865201E-6,2990.39204627825,1786.95554335758,1203.43650292067,0.01622
3.95432696525792E-6,2990.3930844199,1789.59169940029,1200.80138501962,0.01624
3.95433879530684E-6,2990.39415427568,1792.32142976096,1198.07272451472,0.01624
3.95435076425131E-6,2990.395236632,1795.06980780068,1195.32542883132,0.01627
3.95436240523131E-6,2990.39628927197,1797.71090174374,1192.68538752823,0.01632
3.95437381701908E-6,2990.39732113124,1800.27952685049,1190.11779428074,0.01635
3.95438541964745E-6,2990.39837018966,1802.90093525784,1187.49743493182,0.01635
3.95439742236512E-6,2990.39945536218,1805.62591986633,1184.77353549585,0.01636
3.95440936907711E-6,2990.4005354104,1808.31180586637,1182.08872954403,0.0164
3.95442083870174E-6,2990.40157227023,1810.85537357733,1179.5461986929,0.01645
3.95443231449726E-6,2990.40260963196,1813.39915852048,1177.00345111148,0.01646
3.95444417827539E-6,2990.40368200678,1816.04828892336,1174.35539308342,0.01646
3.95445632869242E-6,2990.40478022908,1818.7566558119,1171.64812441718,0.01649
3.95446805116953E-6,2990.40583971232,1821.33173410145,1169.07410561087,0.01654
3.95447951325101E-6,2990.4068756044,1823.82315018669,1166.58372541772,0.01657
3.95449113037636E-6,2990.40792545169,1826.35695466684,1164.05097078484,0.01657
3.9545031460439E-6,2990.40901125515,1828.98994888721,1161.41906236794,0.01658
3.95451510852765E-6,2990.41009219167,1831.58550309058,1158.82458910109,0.01663
3.95452662693422E-6,2990.41113294367,1834.0490606962,1156.36207224747,0.01667
3.95453824261382E-6,2990.41218242771,1836.53602843061,1153.8761539971,0.01668
3.95455029891924E-6,2990.41327166194,1839.13336921861,1151.27990244332,0.01668
3.95456246656079E-6,2990.41437089226,1841.74176193423,1148.67260895803,0.01672
3.95457419840677E-6,2990.41543069302,1844.22026630785,1146.19516438517,0.01677
3.9545857306815E-6,2990.41647240843,1846.63681438775,1143.77965802068,0.0168
3.95459745508895E-6,2990.41753142133,1849.09640979755,1141.32112162378,0.01681
3.95460932884881E-6,2990.41860386502,1851.58672751689,1138.83187634813,0.01683
3.95462100080337E-6,2990.41965802315,1854.00980357828,1136.40985444487,0.01687
3.95463221735749E-6,2990.42067099702,1856.30821586363,1134.11245513339,0.01691
3.95464308160874E-6,2990.42165210322,1858.52194488824,1131.89970721499,0.01693
3.95465390175154E-6,2990.42262917632,1860.73202350496,1129.69060567135,0.01693
3.95466501542358E-6,2990.42363270368,1863.0233566573,1127.40027604638,0.01692
3.95467661920866E-6,2990.4246804306,1865.44260727002,1124.98207316057,0.01692
3.95468860979425E-6,2990.42576302231,1867.94694675048,1122.47881627183,0.01694
3.9547003516215E-6,2990.42682309522,1870.36357047559,1120.06325261963,0.017
3.95471165611637E-6,2990.42784362962,1872.65283330283,1117.77501032679,0.01705
3.95472289394559E-6,2990.42885809182,1874.92008700655,1115.50877108528,0.01706
3.95473453014114E-6,2990.42990845882,1877.28516639203,1113.14474206679,0.01706
3.95474661997495E-6,2990.43099971353,1879.75237844591,1110.67862126762,0.01707
3.9547585039247E-6,2990.43207232415,1882.14094374144,1108.29112858271,0.01713
3.95476991202979E-6,2990.43310192996,1884.39246344296,1106.040638487,0.01718
3.95478124768014E-6,2990.43412494178,1886.62503919368,1103.8090857481,0.01719
3.95479293035884E-6,2990.43517921483,1888.94390819672,1101.4912710181,0.01718
3.9548050062362E-6,2990.4362689101,1891.34334442957,1099.09292448053,0.0172
3.95481673595235E-6,2990.43732730937,1893.63499171325,1096.80233559612,0.01726
3.95482807783526E-6,2990.43835065794,1895.81733868761,1094.62101197032,0.0173
3.9548394031936E-6,2990.43937246098,1897.9956775486,1092.44369491239,0.01731
3.95485110344408E-6,2990.44042803052,1900.26380892539,1090.17661910513,0.0173
3.95486304147824E-6,2990.44150499238,1902.57730882299,1087.86419616939,0.01733
3.95487462825126E-6,2990.44255020811,1904.78677522244,1085.65577498567,0.01738
3.95488589605966E-6,2990.44356659607,1906.90774590025,1083.53582069582,0.01742
3.95489721925909E-6,2990.4445879261,1909.04377858742,1081.40080933868,0.01742
3.95490898310197E-6,2990.44564894357,1911.27892608431,1079.16672285926,0.01742
3.95492083925425E-6,2990.4467182272,1913.52316421909,1076.92355400811,0.01745
3.95493229879762E-6,2990.44775168465,1915.65696438607,1074.79078729859,0.01751
3.95494356222101E-6,2990.44876740101,1917.733577342,1072.71519005901,0.01754
3.95495499995752E-6,2990.44979878145,1919.84985491,1070.59994387144,0.01754
3.95496679825647E-6,2990.4508626168,1922.04415112907,1068.40671148772,0.01754
3.954978612297E-6,2990.45192781226,1924.22542338972,1066.22650442254,0.01758
3.95498995857277E-6,2990.45295077656,1926.28585630396,1064.1670944726,0.01763
3.95500123739098E-6,2990.45396760476,1928.32370808336,1062.1302595214,0.01765
3.95501276276666E-6,2990.4550066052,1930.41930696484,1060.03569964036,0.01765
3.95502464836794E-6,2990.45607802046,1932.58515375683,1057.87092426363,0.01766
3.9550363155278E-6,2990.45712968615,1934.68463894345,1055.7724907427,0.01771
3.95504760849016E-6,2990.45814756697,1936.68776865418,1053.77037891279,0.01776
3.95505892171859E-6,2990.4591672201,1938.68914759897,1051.77001962114,0.01777
3.95507051782824E-6,2990.46021231266,1940.75431113111,1049.70590118156,0.01777
3.95508240934098E-6,2990.4612839689,1942.87169438006,1047.58958958884,0.01779
3.95509398040109E-6,2990.46232668843,1944.89400789143,1045.568318797,0.01785
3.9551052029515E-6,2990.46333794786,1946.82460151812,1043.63873642974,0.01789
3.95511650085251E-6,2990.46435594302,1948.77232490564,1041.69203103738,0.01789
3.95512818895057E-6,2990.46540903973,1950.80391939451,1039.66148964522,0.01789
3.95514000172213E-6,2990.46647331051,1952.84769274015,1037.61878057036,0.01792
3.95515138163233E-6,2990.46749852659,1954.78058941074,1035.68690911586,0.01798
3.95516259483076E-6,2990.46850866978,1956.66976145651,1033.79874721326,0.018
3.95517397972719E-6,2990.46953422573,1958.59976963238,1031.86976459335,0.018
3.95518578782701E-6,2990.47059784582,1960.61110242506,1029.85949542076,0.01801
3.9551974318006E-6,2990.47164662413,1962.57060296488,1027.90104365926,0.01806
3.95520863284084E-6,2990.47265545285,1964.42382474686,1026.04883070599,0.01811
3.9552198435232E-6,2990.47366509659,1966.27120094707,1024.20246414952,0.01812
3.95523133298233E-6,2990.47469979179,1968.17892889866,1022.29577089313,0.01812
3.95524312934637E-6,2990.47576206726,1970.1383209726,1020.33744109466,0.01814
3.95525458928959E-6,2990.47679399102,1972.01251681303,1018.464277178,0.01819
3.9552657260454E-6,2990.47779675953,1973.80571551351,1016.67208124602,0.01823
3.95527699739459E-6,2990.47881159333,1975.62262246864,1014.8561891247,0.01823
3.95528859814625E-6,2990.47985602902,1977.50550511676,1012.97435091226,0.01824
3.95530023054467E-6,2990.4809032565,1979.38033190667,1011.10057134982,0.01827
3.95531147209834E-6,2990.48191524283,1981.15799313174,1009.32392211109,0.01833
3.95532255615345E-6,2990.48291299825,1982.89480351158,1007.58810948667,0.01836
3.9553338217719E-6,2990.48392704398,1984.67600262861,1005.80792441537,0.01834
3.95534554264595E-6,2990.48498201113,1986.5377817108,1003.94720030033,0.01836
3.95535703644582E-6,2990.48601648318,1988.33725410158,1002.1487623816,0.01841
3.95536810540874E-6,2990.48701266573,1990.03872728985,1000.44828537588,0.01846
3.95537920747788E-6,2990.48801177545,1991.74296282117,998.745048954283,0.01846
3.95539065010379E-6,2990.48904147812,1993.5164143357,996.972627142413,0.01846
3.95540228929586E-6,2990.49008881235,1995.31639612096,995.17369269139,0.01849
3.95541355737069E-6,2990.49110269733,1997.02802043843,993.463082258904,0.01854
3.95542454393474E-6,2990.49209120043,1998.67976802874,991.81232317169,0.01857
3.9554357606733E-6,2990.49310036028,2000.37637625625,990.116724104028,0.01857
3.95544737895632E-6,2990.49414559034,2002.14325797997,988.350887610376,0.01858
3.95545883499939E-6,2990.49517616844,2003.85981330668,986.635362861757,0.01863
3.95546981833352E-6,2990.49616416957,2005.47997718731,985.016186982259,0.01867
3.95548083616541E-6,2990.49715522242,2007.10233390441,983.39482131801,0.01868
3.95549220635479E-6,2990.4981779157,2008.78921640169,981.708961514013,0.01868
3.95550377751423E-6,2990.49921862885,2010.50230640174,979.996912227105,0.0187
3.95551499216712E-6,2990.5002272234,2012.13125430617,978.368972917228,0.0187033333333335
3.95552588016853E-6,2990.50120638927,2013.69090914346,976.810297245808,0.0187100000000001
3.95553696475947E-6,2990.50220318281,2015.2880256072,975.214177575611,0.0187133333333333
3.9555484650147E-6,2990.50323730022,2016.95551832907,973.547718971146,0.0187166666666666
3.95555984490349E-6,2990.50426053879,2018.58154675202,971.922713786772,0.0187199999999999
3.95556496763415E-6,2990.5047211383,2032.35607727591,958.148643862389,0.0187199999999999
3.95557507460279E-6,2990.50562985233,2033.72192805439,956.783701797937,0.0187266666666667
3.95558585786458E-6,2990.50659932376,2035.20979353594,955.29680578782,0.0187299999999999
3.95559732814361E-6,2990.50763050739,2036.80688704876,953.70074345863,0.0187333333333332
3.95560802886299E-6,2990.50859245681,2038.21909436429,952.289498092517,0.0187366666666665
3.95561787335144E-6,2990.50947739171,2039.46182148481,951.0476559069,0.01874
3.95562769558483E-6,2990.51036028502,2040.70662818519,949.803732099837,0.01871
3.95563801531412E-6,2990.51128785269,2042.04811014591,948.463177706782,0.01867
3.95564856640741E-6,2990.51223616924,2043.4235964916,947.08863967764,0.01869
3.95565836188821E-6,2990.51311653011,2044.6499021425,945.863214387603,0.01879
3.95566776284118E-6,2990.51396139476,2045.81458520937,944.699376185383,0.0188
3.95567737208045E-6,2990.5148249393,2047.0345493185,943.480275620801,0.01876
3.95568764821087E-6,2990.5157483713,2048.3852471006,942.130501270701,0.01872
3.9556981865695E-6,2990.516695321,2049.77139101324,940.745304307762,0.01876
3.95570805198447E-6,2990.51758175894,2051.0197999789,939.497781780045,0.01886
3.95571759757134E-6,2990.51843941997,2052.21340440945,938.305035010519,0.01888
3.95572745531161E-6,2990.519325087,2053.47023065038,937.049094436619,0.01884
3.95573790037811E-6,2990.5202634772,2054.8283480063,935.691915470899,0.01882
3.95574818356252E-6,2990.52118727853,2056.14062634176,934.38056093677,0.01888
3.95575793742029E-6,2990.52206348568,2057.34442553913,933.177637946551,0.01895
3.95576764856618E-6,2990.52293581577,2058.53982146411,931.983114351661,0.01895
3.95577784982957E-6,2990.52385212883,2059.82521470615,930.698637422682,0.01892
3.95578859388824E-6,2990.52481714983,2061.19397473837,929.330842411462,0.01892
3.95579916929869E-6,2990.5257669751,2062.50657121308,928.019195762018,0.01899
3.95580965732267E-6,2990.52670890485,2063.79151940531,926.735189499545,0.01902
3.95582061399227E-6,2990.52769287375,2065.13918953692,925.388503336825,0.01902
3.95583173637229E-6,2990.52869167216,2066.48101690568,924.047674766483,0.01907
3.95584235817109E-6,2990.52964546891,2067.71008691383,922.819558555072,0.01915
3.95585276164337E-6,2990.53057961428,2068.88775849452,921.642821119766,0.01918
3.95586322675236E-6,2990.53151924772,2070.06047914909,920.471040098627,0.01919
3.95587364098279E-6,2990.53245426669,2071.2087916605,919.323662606197,0.01922
3.95588379816254E-6,2990.53336616253,2072.30359908855,918.229767073981,0.01926
3.95589381543705E-6,2990.53426545495,2073.37474271572,917.159522739232,0.01928
3.95590390995094E-6,2990.53517163832,2074.45239339567,916.082778242652,0.01928
3.95591383402152E-6,2990.5360624788,2075.49392298419,915.042139494611,0.01932
3.95592340921045E-6,2990.53692196202,2076.4797794269,914.057142535122,0.01935
3.95593292477453E-6,2990.53777605462,2077.46251877578,913.075257278841,0.01935
3.95594284499591E-6,2990.53866642724,2078.50797156523,912.030694862017,0.01932
3.95595298012023E-6,2990.53957604492,2079.58105839194,910.958517652982,0.01934
3.95596270840121E-6,2990.54044910773,2080.58326392525,909.957185182485,0.0194
3.95597215769551E-6,2990.54129709443,2081.53882274145,909.002474352978,0.01944
3.95598179183271E-6,2990.54216162999,2082.52564073877,908.016520891217,0.01941
3.95599195685174E-6,2990.54307376236,2083.58916350503,906.953910257332,0.01939
3.95600216907147E-6,2990.54399008594,2084.63937045472,905.904619631227,0.01945
3.95601188288305E-6,2990.54486164715,2085.59835759645,904.946504050704,0.01952
3.95602155026317E-6,2990.54572900253,2086.5432471762,904.002481826334,0.01953
3.9560315531086E-6,2990.54662641397,2087.53184377497,903.014782639,0.01951
3.95604186189495E-6,2990.5475512286,2088.54780042214,901.999750806465,0.01953
3.95605168340822E-6,2990.54843228731,2089.47123469869,901.077197588615,0.01961
3.95606092636968E-6,2990.54926140841,2090.3000114384,900.249249970013,0.01967
3.95607006278896E-6,2990.55008093667,2091.11164005755,899.438440879121,0.01967
3.95607941646813E-6,2990.5509199162,2091.96453478121,898.586385134989,0.01963
3.95608918372658E-6,2990.55179595208,2092.87503098999,897.676764962091,0.01961
3.95609884943084E-6,2990.55266283954,2093.75814977716,896.794513062381,0.01966
3.95610813675419E-6,2990.55349575377,2094.58565789987,895.967837853893,0.0197
3.95611736109854E-6,2990.55432298356,2095.39986089009,895.154462093476,0.01971
3.95612663035734E-6,2990.55515420481,2096.2264818995,894.328672305319,0.0197
3.95613618102719E-6,2990.55601062342,2097.0884583302,893.467552293214,0.0197
3.95614590430615E-6,2990.55688248024,2097.96881382432,892.588068655916,0.01971
3.95615585928461E-6,2990.55777507121,2098.87220567038,891.68556940083,0.01973
3.95616596498046E-6,2990.55868113285,2099.78006538524,890.77861574761,0.01976
3.95617577782119E-6,2990.55956089599,2100.62661365008,889.93294724591,0.01982
3.95618529716672E-6,2990.56041430692,2101.41880427968,889.141610027243,0.01987
3.95619486608058E-6,2990.56127212285,2102.2111452487,888.350126874147,0.01987
3.95620482920682E-6,2990.56216523703,2103.05008987288,887.512075364152,0.01985
3.95621482206699E-6,2990.56306097424,2103.87391275042,886.689148223814,0.0199
3.95622418588628E-6,2990.56390028713,2104.59594904324,885.9679512439,0.01999
3.95623327463161E-6,2990.56471490852,2105.28625570877,885.278459199753,0.01999
3.95624282637276E-6,2990.56557099024,2106.03615724052,884.52941374972,0.01995
3.95625288097456E-6,2990.56647209932,2106.84508856779,883.721383531523,0.01994
3.95626237992064E-6,2990.56732337019,2107.56113725405,883.006186116134,0.02005
3.95627128294891E-6,2990.56812120164,2108.20320821466,882.36491298698,0.02009
3.95628037756623E-6,2990.56893616727,2108.87534684295,881.693589324318,0.02005
3.95629020824952E-6,2990.56981705199,2109.64882525213,880.920991799856,0.01999
3.9563003469855E-6,2990.57072549694,2110.43868065439,880.132044842541,0.02005
3.95630962341384E-6,2990.57155663964,2111.09780543475,879.473751204886,0.02018
3.95631870811535E-6,2990.57237056869,2111.73174485417,878.840625714521,0.02019
3.95632825829115E-6,2990.57322616334,2112.42978573212,878.143440431222,0.02013
3.95633818153885E-6,2990.57411514021,2113.1623549832,877.411760157014,0.02015
3.95634755836492E-6,2990.57495512729,2113.81249368091,876.762461446383,0.02025
3.9563566343565E-6,2990.57576812967,2114.42881446219,876.146953667479,0.02027
3.95636584979016E-6,2990.57659358707,2115.06522825003,875.511365337046,0.02025
3.95637513759837E-6,2990.57742549078,2115.7087391111,874.868686379687,0.02031
3.95638412619208E-6,2990.57823055911,2116.31541801988,874.262812539222,0.02031
3.95639301335498E-6,2990.57902650897,2116.91759078714,873.661435721824,0.02031
3.95640219416789E-6,2990.57984872338,2117.56492922442,873.014919498962,0.02028
3.95641161840982E-6,2990.58069270153,2118.23594511806,872.344747583472,0.02029
3.9564207367994E-6,2990.58150925346,2118.86515321476,871.716356038698,0.02036
3.9564296585067E-6,2990.58230815828,2119.47188194816,871.110426210118,0.02039
3.95643874680613E-6,2990.58312194601,2120.10694021691,870.476181729096,0.02037
3.95644808721262E-6,2990.58395827141,2120.767247249,869.816711022417,0.02038
3.95645722341251E-6,2990.58477627661,2121.39567472781,869.1891015488,0.02043
3.95646607334273E-6,2990.58556861696,2121.99068029422,868.59488832274,0.02046
3.95647503079186E-6,2990.58637054965,2122.5994611592,867.98690939045,0.02045
3.95648403576339E-6,2990.58717670251,2123.2173349076,867.369841794903,0.02045
3.95649304299177E-6,2990.58798302292,2123.83808496162,866.7498980613,0.02047
3.95650215791512E-6,2990.58879894901,2124.4749737356,866.113825213404,0.02048
3.95651169442661E-6,2990.58965257593,2125.16618579089,865.423466785035,0.02046
3.95652163149907E-6,2990.59054201652,2125.89303299188,864.697509024633,0.02048
3.95653113625353E-6,2990.59139272222,2126.54314223562,864.048250486593,0.0206
3.95654004694465E-6,2990.59219022249,2127.11435211561,863.477838106874,0.02067
3.95654896460304E-6,2990.59298831254,2127.69545351141,862.897534801128,0.02064
3.95655843334091E-6,2990.5938356847,2128.339053945,862.254781739706,0.0206
3.95656802583953E-6,2990.59469409356,2128.98970273147,861.60499136209,0.02063
3.95657729059334E-6,2990.59552313622,2129.58427899999,861.011244136226,0.02072
3.95658621941205E-6,2990.5963220837,2130.14001133473,860.456310748977,0.02076
3.95659518261362E-6,2990.59712407367,2130.70532005012,859.891804023554,0.02073
3.95660438446082E-6,2990.59794738114,2131.30118734163,859.296760039508,0.02073
3.95661375538463E-6,2990.59878577924,2131.91185480237,858.686930976869,0.02075
3.95662297974531E-6,2990.59961102817,2132.49879358719,858.100817440983,0.0208
3.95663183627112E-6,2990.60040333506,2133.0441887397,857.556214595358,0.02084
3.95664053390501E-6,2990.601181395,2133.57824054466,857.022940850338,0.02085
3.95664939480463E-6,2990.60197402705,2134.14494438974,856.457029637305,0.02081
